Name,Furniture Type,Material,Color,Feel,Is_Accessory,Dimensions (cm)
Modern Wood Sofa Model 5012,Sofa,Wood,Mahogany,Rustic,TRUE,161x118x18
Steel Table Model 9279,Table,Steel,Gray,Industrial,TRUE,193x176x189
Glass Dining Table Model 5557,Dining Table,Glass,Red,Traditional,TRUE,50x188x118
Premium Plastic Bench Model 6514,Bench,Plastic,White,Industrial,TRUE,101x98x164
Premium Pine Bookshelf Model 9785,Bookshelf,Pine,Natural,Mid-Century,TRUE,151x85x170
Marble Nightstand Model 1750,Nightstand,Marble,Gray,Modern,FALSE,30x69x35
Plastic Coffee Table Model 3664,Coffee Table,Plastic,Red,Minimalist,TRUE,181x78x189
Marble Bed Model 9751,Bed,Marble,Cream,Scandinavian,TRUE,128x107x79
Plywood Dresser Model 4752,Dresser,Plywood,Blue,Japanese,FALSE,112x78x26
Walnut Stool Model 4483,Stool,Walnut,Yellow,Minimalist,FALSE,174x127x46
Extendable Aluminum Bookshelf Model 9830,Bookshelf,Aluminum,Gray,Contemporary,FALSE,159x112x102
Aluminum Dresser Model 2489,Dresser,Aluminum,Beige,Mid-Century,TRUE,49x170x50
Marble Dining Table Model 7252,Dining Table,Marble,Black,Bohemian,FALSE,145x74x151
Plywood Table Model 9797,Table,Plywood,Mahogany,Modern,FALSE,38x85x121
Fabric Desk Model 9201,Desk,Fabric,Natural,Rustic,TRUE,170x86x173
Aluminum Stool Model 9837,Stool,Aluminum,Blue,Scandinavian,TRUE,163x92x135
Compact Steel Table Model 6038,Table,Steel,Walnut Finish,Minimalist,TRUE,31x197x134
Pine Bed Model 3103,Bed,Pine,Beige,Scandinavian,TRUE,77x145x165
Glass Dining Table Model 4295,Dining Table,Glass,Walnut Finish,Contemporary,FALSE,181x176x105
Modern Walnut Armchair Model 2982,Armchair,Walnut,Beige,Mid-Century,FALSE,15x160x151
Marble Dresser Model 2163,Dresser,Marble,Gray,Japanese,TRUE,68x27x18
Steel Bench Model 5562,Bench,Steel,Beige,Industrial,TRUE,148x43x195
Modern Glass Recliner Model 7669,Recliner,Glass,Espresso,Mid-Century,FALSE,100x118x115
Eco Teak Armchair Model 2612,Armchair,Teak,Mahogany,Japanese,TRUE,73x59x58
Aluminum Armchair Model 5563,Armchair,Aluminum,Green,Scandinavian,TRUE,123x150x35
Plywood Chair Model 2528,Chair,Plywood,Beige,Japanese,TRUE,52x114x134
Classic Glass Recliner Model 1960,Recliner,Glass,Oak Finish,Bohemian,FALSE,77x126x83
Deluxe Oak Dining Table Model 8973,Dining Table,Oak,Mahogany,Contemporary,TRUE,24x158x198
Oak Chair Model 1821,Chair,Oak,Blue,Japanese,TRUE,24x140x30
Steel Desk Model 4853,Desk,Steel,Yellow,Modern,TRUE,158x162x20
Deluxe Leather Bed Model 9565,Bed,Leather,Cream,Traditional,TRUE,181x193x90
Plastic Dresser Model 5915,Dresser,Plastic,Green,Scandinavian,TRUE,12x127x169
Eco Steel Sofa Model 9288,Sofa,Steel,Beige,Industrial,TRUE,72x104x82
Fabric Desk Model 5956,Desk,Fabric,Oak Finish,Contemporary,TRUE,180x151x86
Walnut Sofa Model 2891,Sofa,Walnut,White,Rustic,TRUE,79x82x164
Oak Stool Model 5325,Stool,Oak,Blue,Industrial,FALSE,23x33x172
Vintage Teak Dining Table Model 1058,Dining Table,Teak,Brown,Japanese,FALSE,51x199x123
Bamboo Dining Table Model 2232,Dining Table,Bamboo,Natural,Modern,TRUE,149x19x104
Leather Cabinet Model 6050,Cabinet,Leather,White,Japanese,TRUE,101x63x184
Plywood Dresser Model 7658,Dresser,Plywood,Black,Minimalist,TRUE,70x51x55
Wood Dining Table Model 7745,Dining Table,Wood,White,Minimalist,TRUE,78x50x189
Slim Leather Sofa Model 8711,Sofa,Leather,Oak Finish,Japanese,FALSE,88x68x67
Modern Plywood Table Model 6378,Table,Plywood,Gray,Bohemian,FALSE,99x174x140
Plywood Coffee Table Model 6425,Coffee Table,Plywood,Oak Finish,Contemporary,TRUE,76x55x158
Eco Wood Bookshelf Model 8119,Bookshelf,Wood,Black,Traditional,FALSE,165x140x39
Premium Walnut Coffee Table Model 5173,Coffee Table,Walnut,Yellow,Industrial,TRUE,143x147x185
Wicker Stool Model 6409,Stool,Wicker,Green,Modern,TRUE,194x86x139
Plywood Wardrobe Model 7592,Wardrobe,Plywood,Green,Minimalist,TRUE,59x117x180
Plywood Coffee Table Model 5930,Coffee Table,Plywood,Mahogany,Scandinavian,TRUE,87x83x63
Pine Dining Table Model 6279,Dining Table,Pine,Yellow,Traditional,FALSE,182x64x140
Extendable Pine Recliner Model 2389,Recliner,Pine,Walnut Finish,Scandinavian,FALSE,33x70x182
Compact Glass Wardrobe Model 3414,Wardrobe,Glass,Espresso,Industrial,FALSE,166x28x126
Walnut Dining Table Model 4185,Dining Table,Walnut,Cream,Traditional,FALSE,136x112x72
Plywood Cabinet Model 2746,Cabinet,Plywood,Mahogany,Japanese,TRUE,55x188x142
Wood Armchair Model 2988,Armchair,Wood,Beige,Industrial,FALSE,180x145x153
Pine Bench Model 9270,Bench,Pine,Walnut Finish,Mid-Century,FALSE,50x200x131
Plastic Armchair Model 5543,Armchair,Plastic,Espresso,Industrial,FALSE,170x71x80
Eco Steel Armchair Model 4841,Armchair,Steel,Mahogany,Rustic,TRUE,45x48x69
Oak Coffee Table Model 2052,Coffee Table,Oak,White,Industrial,FALSE,148x129x116
Glass Chair Model 7381,Chair,Glass,Oak Finish,Bohemian,TRUE,157x107x132
Wicker Table Model 7865,Table,Wicker,Brown,Bohemian,TRUE,134x66x79
