prompt_id,room_type,style_category,complexity,user_prompt
1,living_room,minimalist,simple,"I want a clean, minimalist living room with neutral colors"
2,living_room,modern,simple,"Create a modern living room setup for my 4-room HDB"
3,living_room,minimalist,simple,"Design a simple living area that doesn't feel cluttered"
4,living_room,modern,simple,"Suggest furniture for a contemporary white-themed living space"
5,living_room,family,medium,"Need a family-friendly living room where kids can play safely"
6,living_room,family,medium,"Design a cozy space for movie nights with the family"
7,living_room,family,complex,"I want seating for 6 people but the room is quite small"
8,living_room,family,medium,"Create a living room that works for both entertaining and relaxing"
9,living_room,scandinavian,medium,"Give me a Scandinavian-inspired living room with light wood"
10,living_room,industrial,medium,"I love industrial style with exposed elements"
11,living_room,japanese,medium,"Can you do a Muji-style Japanese minimalist living room?"
12,living_room,japandi,medium,"Design a warm, cozy Japandi living space"
13,living_room,modern,medium,"I want a living room with a feature wall and modern furniture"
14,living_room,budget,simple,"Design an affordable living room using IKEA furniture only"
15,living_room,constraint,complex,"Create a layout that fits around my existing 3-seater sofa and TV console"
16,bedroom,master,medium,"I need a relaxing master bedroom with storage for clothes"
17,bedroom,master,medium,"Design a hotel-style bedroom that feels luxurious"
18,bedroom,master,complex,"Create a master bedroom with a small work desk area"
19,bedroom,master,simple,"I want a peaceful sleeping space with warm lighting options"
20,bedroom,small,complex,"My bedroom is tiny, help me maximize space"
21,bedroom,small,complex,"Design a functional bedroom for a 2-room BTO"
22,bedroom,small,medium,"I need storage solutions for a small bedroom"
23,bedroom,small,complex,"Create a bedroom that doesn't feel cramped despite being small"
24,bedroom,kids,medium,"Design a bedroom for my 10-year-old with study space"
25,bedroom,kids,complex,"I need furniture for a shared kids' room for 2 children"
26,bedroom,teen,medium,"Create a teen bedroom with gaming and study areas"
27,bedroom,minimalist,simple,"I want a zen-like bedroom with minimal furniture"
28,bedroom,scandinavian,simple,"Design a Scandi bedroom with natural materials"
29,bedroom,constraint,complex,"I need a bedroom setup for elderly parents with mobility aids"
30,bedroom,modern,medium,"Create a modern bedroom with built-in wardrobe solutions"
